Address,District,Beds,Baths,Longitudes,Latitudes,Price,Size,Website,Distance,Type
5717 Hobart St,Squirrel Hill,2,1,-79.924737,40.433372,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-2br-in/7032269868.html,2.115129622,Apartment
5717 Hobart St,Squirrel Hill,2,1,-79.924737,40.433372,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-2br-in/7031354450.html,2.115129622,Apartment
5717 Hobart St,Squirrel Hill,2,1,-79.924737,40.433372,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-2br-in/7029151882.html,2.115129622,Apartment
5854 Forbes Avenue,Squirrel Hill,2,1,-79.920789,40.438123,1225,1000,https://pittsburgh.craigslist.org/apa/d/pittsburgh-two-bedroom-in-squirrel-hill/7010177017.html,2.54906908,Apartment
6608 Ridgeville St,Squirrel Hill,2,1,-79.914835,40.443617,1135,1300,https://pittsburgh.craigslist.org/sub/d/pittsburgh-2br-duplex-squirrel-hill/7021912750.html,3.211890389,Apartment
2325 - 2327 Eldridge Street - 6,Squirrel Hill,1,1,-79.9205,40.4308,1045,447,https://pittsburgh.craigslist.org/apa/d/pittsburgh-apartment-for-rent-in-sq-hill/7025977417.html,2.59085383,Apartment
"5860 Forward Ave, Apt 1",Squirrel Hill,1,1,-79.921706,40.429427,885,1100,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-1br-1ba-apartment/7014318465.html,2.45962975,Apartment
5717 Hobart St. near Murray Ave.,Squirrel Hill,2,1,-79.924737,40.433372,1385,800,https://pittsburgh.craigslist.org/apa/d/asap-heart-of-sq-hill-kit-dw-granite/7031256141.html,2.115129622,Apartment
Munhall Road near Beacon,Squirrel Hill,1,1,-79.925194,40.433392,965,700,https://pittsburgh.craigslist.org/apa/d/pittsburgh-perfect-squirrel-hill/7016868120.html,2.064284169,Apartment
5952 Phillips Ave near Shady Ave,Squirrel Hill,4,1,-79.919005,40.432369,1200,1200,https://pittsburgh.craigslist.org/apa/d/pittsburgh-great-4-br-apartment-in/7016524316.html,2.754545926,Apartment
5821 Darlington Road near Murray Ave,Squirrel Hill,1,1,-79.922326,40.437078,1150,930,https://pittsburgh.craigslist.org/apa/d/pittsburgh-unique-charming-prime-sq/7024558565.html,2.378547461,Apartment
5855 Darlington Road,Squirrel Hill,1,1,-79.920679,40.437068,825,400,https://pittsburgh.craigslist.org/apa/d/pittsburgh-off-street-parking-fees/7018803205.html,2.562237493,Apartment
1615 Denniston,Squirrel Hill,4,2,-79.91793,40.440211,1500,1600,https://pittsburgh.craigslist.org/apa/d/pittsburgh-large-4-bedroom-2-bathroom/7032355909.html,2.866933224,Apartment
Hobart St near Murray Ave,Squirrel Hill,2,1,-79.925151,40.432788,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-br-1ba-on-bus-line/7032325416.html,2.070199774,Apartment
Hobart St near Murray Ave,Squirrel Hill,2,1,-79.92528,40.432755,1385,800,https://pittsburgh.craigslist.org/apa/d/pittsburgh-now-on-bus-route-spacious/7032237046.html,2.055931387,Apartment
2123 Shady Ave - A8,Squirrel Hill,1,1,-79.918428,40.434289,895,430,https://pittsburgh.craigslist.org/apa/d/pittsburgh-new-light-fixtures-central-c/7028016260.html,2.816193996,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924647,40.428288,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1-pet/7028684210.html,2.136473589,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92484,40.428141,1150,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-short/7028684845.html,2.1155281,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924604,40.428166,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-april-1-shopping/7030321509.html,2.14155696,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432216,1195,844,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-now-or-jan-4-flexible/7028695508.html,1.685813801,Apartment
5533 Covode Street near Yeshiva Way,Squirrel Hill,1,1,-79.928597,40.431814,910,720,https://pittsburgh.craigslist.org/apa/d/pittsburgh-avail-now-or-january-4-ac/7028695809.html,1.690158618,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.92426,40.428639,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-schenley-park-ac-hw-floors/7028705364.html,2.178375488,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924518,40.428272,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-pet-friendly-ac-hardwood/7028686823.html,2.150785263,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928541,40.432086,1070,716,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7028687824.html,1.695663286,Apartment
2325 - 2327 Eldridge Street - 6,Squirrel Hill,1,1,-79.9205,40.4308,1045,447,https://pittsburgh.craigslist.org/apa/d/pittsburgh-fully-renovated-apartment/7015446985.html,2.59085383,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432086,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-pet/7028688319.html,1.686141227,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928391,40.432004,1110,760,https://pittsburgh.craigslist.org/apa/d/pittsburgh-schenley-park-ac-pet/7028688918.html,1.712478969,Apartment
2715 Murray Avenue near Forward Avenue,Squirrel Hill,1,1,-79.924046,40.428754,1075,770,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7028686000.html,2.201775499,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.92867,40.432355,1140,852,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-sun/7028687177.html,1.680705272,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928627,40.432102,1110,714,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-february-1/7028689585.html,1.686100725,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928155,40.432143,1165,874,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-january-4-schenley/7028689980.html,1.738273059,Apartment
5562 Hobart Street near Wightman Street,Squirrel Hill,1,1,-79.928616,40.432102,1090,742,https://pittsburgh.craigslist.org/apa/d/pittsburgh-heat-incld-available/7028690550.html,1.687318642,Apartment
